TRT,Clutch,Hatch,Year,Volume
CALCIUM,5,0,2013,1922.843857
CALCIUM,5,60,2013,1937.836371
CALCIUM,5,80,2013,1916.29835
CALCIUM,5,100,2013,1933.604745
CALCIUM,6,83,2013,1989.501573
CALCIUM,5,1,2013,1994.084827
CALCIUM,7,71,2013,1934.190156
CALCIUM,5,100,2013,1953.907603
CALCIUM,5,80,2013,1950.966922
CALCIUM,5,60,2013,1999.422414
CALCIUM,5,80,2013,1931.553132
CALCIUM,6,100,2013,1949.628948
CALCIUM,6,100,2013,1988.801632
CALCIUM,5,80,2013,1914.829151
CALCIUM,6,83,2013,1976.720305
CONTROL,5,100,2013,1919.367144
CONTROL,3,0,2013,1964.832434
CONTROL,5,100,2013,1935.514201
CONTROL,6,83,2013,1918.276826
CONTROL,5,100,2013,1931.959812
CONTROL,5,80,2013,1976.00025
CONTROL,5,80,2013,1860.843761
CONTROL,5,0,2013,1816.095859
CONTROL,6,83,2013,1865.315014
CONTROL,3,67,2013,1836.742553
CONTROL,6,100,2013,1909.31641
CONTROL,6,83,2013,1970.056892
CONTROL,6,100,2013,1847.526079
CONTROL,5,60,2013,1929.934141
CALCIUM,5,80,2014,1970.963008
CALCIUM,5,100,2014,1995.155631
CALCIUM,6,83,2014,1916.628433
CALCIUM,6,100,2014,1857.509144
CALCIUM,5,100,2014,1927.755149
CALCIUM,5,80,2014,1970.721838
CALCIUM,6,100,2014,1939.694978
CALCIUM,6,83,2014,1941.900574
CALCIUM,7,100,2014,1944.428841
CALCIUM,6,100,2014,1953.053602
CALCIUM,6,83,2014,1974.14549
CALCIUM,6,83,2014,1883.614577
CALCIUM,5,80,2014,1978.944947
CALCIUM,6,100,2014,1878.317322
CALCIUM,5,80,2014,1979.477754
CALCIUM,4,25,2014,1992.619625
CALCIUM,8,25,2014,NA
CALCIUM,5,60,2014,NA
CALCIUM,6,83,2014,NA
CONTROL,6,100,2014,1916.790195
CONTROL,5,80,2014,1701.767768
CONTROL,4,100,2014,1818.002451
CONTROL,6,67,2014,1815.111028
CONTROL,5,40,2014,1781.821355
CONTROL,7,71,2014,1907.864799
CONTROL,5,0,2014,1814.936192
CONTROL,6,67,2014,1846.093565
CONTROL,7,14,2014,1889.965649
CONTROL,4,75,2014,1884.652707
CONTROL,5,20,2014,1887.762313
CONTROL,7,86,2014,1987.467269
CONTROL,4,75,2014,1866.461764
CONTROL,4,25,2014,1850.081532
CONTROL,3,0,2014,1982.616716
CONTROL,6,67,2014,1908.949725
CONTROL,5,80,2014,1907.557091
CONTROL,6,83,2014,1997.140516
CONTROL,5,80,2014,1861.726552
CONTROL,3,0,2014,1969.532429
CONTROL,5,0,2014,1970.740964
CONTROL,4,0,2014,1967.741311
CONTROL,5,100,2014,NA
CALCIUM,6,33,2015,1959.336019
CALCIUM,5,60,2015,1962.684199
CALCIUM,5,0,2015,1858.525758
CALCIUM,3,100,2015,NA
CALCIUM,7,100,2015,NA
CALCIUM,4,50,2015,2065.429728
CALCIUM,7,100,2015,1923.712762
CALCIUM,5,80,2015,1873.452479
CALCIUM,7,86,2015,1970.057593
CALCIUM,5,80,2015,NA
CALCIUM,6,100,2015,1990.711955
CALCIUM,6,100,2015,1990.235409
CALCIUM,6,100,2015,1947.712543
CALCIUM,4,75,2015,1912.517537
CALCIUM,7,57,2015,1978.164162
CALCIUM,6,100,2015,1969.605521
CALCIUM,6,83,2015,1949.631402
CALCIUM,7,57,2015,1871.638268
CALCIUM,7,86,2015,1936.971115
CALCIUM,6,83,2015,1979.265376
CALCIUM,7,100,2015,1989.036478
CALCIUM,6,83,2015,1975.717891
CALCIUM,5,100,2015,1971.868861
CALCIUM,6,83,2015,2007.754143
CALCIUM,5,NA,2015,NA
CONTROL,5,40,2015,1879.722935
CONTROL,5,80,2015,1886.034516
CONTROL,5,100,2015,NA
CONTROL,6,0,2015,1934.530985
CONTROL,5,0,2015,NA
CONTROL,7,71,2015,1909.427994
CONTROL,4,100,2015,1970.069849
CONTROL,5,80,2015,1962.406455
CONTROL,6,83,2015,1963.375771
CONTROL,5,100,2015,1992.939497
CONTROL,6,67,2015,1962.903501
CONTROL,3,0,2015,1991.792038
CONTROL,5,100,2015,1960.479832
CONTROL,3,67,2015,1971.208963
CONTROL,6,17,2015,1990.617237
CONTROL,6,100,2015,1902.116081
CONTROL,6,17,2015,1941.612352
CONTROL,6,67,2015,1872.439682
CONTROL,6,83,2015,1872.219406
CONTROL,3,67,2015,1894.778119
CONTROL,5,0,2015,NA
CONTROL,5,100,2015,2049.762583
CONTROL,5,60,2015,2003.18159
CONTROL,6,67,2015,1839.728784
CONTROL,5,NA,2015,NA
CONTROL,6,0,2015,NA
CONTROL,5,NA,2015,NA
CALCIUM,5,100,2016,1663.91981
CALCIUM,5,80,2016,1736.5654
CALCIUM,6,83,2016,1649.395198
CALCIUM,5,100,2016,1763.16836
CALCIUM,7,100,2016,1633.680231
CALCIUM,6,67,2016,1708.088242
CALCIUM,7,100,2016,1653.842076
CALCIUM,5,100,2016,1752.546004
CALCIUM,8,86,2016,1799.80836
CALCIUM,5,80,2016,NA
CALCIUM,5,80,2016,NA
CALCIUM,5,80,2016,NA
CALCIUM,6,100,2016,NA
CALCIUM,5,100,2016,NA
CALCIUM,7,100,2016,NA
CALCIUM,5,NA,2016,NA
CONTROL,6,83,2016,1550.80052
CONTROL,5,0,2016,1610.462904
CONTROL,3,100,2016,1656.45246
CONTROL,6,100,2016,1565.74976
CONTROL,5,80,2016,1647.023666
CONTROL,6,83,2016,1776.82929
CONTROL,6,100,2016,1601.51499
CONTROL,6,0,2016,1577.869265
CONTROL,3,33,2016,1665.599515
CONTROL,6,100,2016,NA
CONTROL,5,100,2016,NA
CONTROL,3,67,2016,NA
CONTROL,5,80,2016,NA
CONTROL,6,NA,2016,NA
CONTROL,6,NA,2016,NA
CALCIUM,5,0,2017,1858.261746
CALCIUM,6,83,2017,1870.162578
CALCIUM,5,80,2017,1901.822175
CALCIUM,4,100,2017,1990.997662
CALCIUM,5,100,2017,1990.515922
CALCIUM,5,80,2017,2035.529984
CALCIUM,5,80,2017,1941.418336
CALCIUM,7,100,2017,2016.221184
CALCIUM,5,80,2017,2014.514065
CALCIUM,5,80,2017,1989.258904
CALCIUM,7,71,2017,1905.377189
CALCIUM,6,100,2017,1858.862523
CALCIUM,1,0,2017,1840.358894
CALCIUM,6,0,2017,1905.340386
CALCIUM,5,100,2017,1857.220134
CALCIUM,5,0,2017,1838.098699
CALCIUM,6,100,2017,1837.449079
CALCIUM,5,100,2017,1935.023683
CALCIUM,6,0,2017,1933.418098
CONTROL,6,71,2017,1906.785505
CONTROL,5,100,2017,1885.830037
CONTROL,5,100,2017,1910.753719
CONTROL,6,100,2017,1854.504382
CONTROL,4,100,2017,1921.332219
CONTROL,4,0,2017,1956.774726
CONTROL,1,83,2017,1837.859323
CONTROL,2,0,2017,1898.298891
CONTROL,4,0,2017,1919.371
CONTROL,5,100,2017,1902.006964
CONTROL,5,100,2017,1919.093779
CONTROL,5,100,2017,1892.324756
CONTROL,5,0,2017,1803.438253
CONTROL,4,83,2017,1799.942292
CONTROL,1,0,2017,1864.289366
CONTROL,3,100,2017,1948.146338
CONTROL,6,100,2017,1772.76767
CONTROL,5,100,2017,1909.661158
CONTROL,4,0,2017,1893.19813
CALCIUM,5,100,2018,1961.729502
CALCIUM,5,100,2018,1978.739112
CALCIUM,4,75,2018,2006.612675
CALCIUM,6,100,2018,1957.775059
CALCIUM,6,100,2018,1931.503121
CALCIUM,5,100,2018,1991.663696
CALCIUM,5,100,2018,2056.954953
CALCIUM,5,100,2018,1982.616232
CALCIUM,5,80,2018,NA
CALCIUM,5,100,2018,NA
CALCIUM,4,75,2018,NA
CALCIUM,5,100,2018,NA
CALCIUM,NA,NA,2018,NA
CALCIUM,6,67,2018,NA
CONTROL,5,80,2018,1985.613852
CONTROL,5,80,2018,1847.408802
CONTROL,6,100,2018,1975.907748
CONTROL,4,75,2018,1875.108748
CONTROL,4,100,2018,1971.63064
CONTROL,3,100,2018,1963.723836
CONTROL,5,100,2018,1923.962897
CONTROL,4,100,2018,1845.325565
CONTROL,4,25,2018,NA
CONTROL,5,60,2018,NA
CONTROL,5,80,2018,NA
CONTROL,6,67,2018,NA
CONTROL,3,100,2018,NA
CONTROL,5,80,2018,NA
CONTROL,6,83,2018,NA
CONTROL,5,100,2018,NA
CONTROL,5,60,2018,NA
CONTROL,6,67,2018,NA